,interactor_A,interactor_B,label
12,Q02866,P34730,0
36,Q02866,Q03944,0
64,Q02866,P38744,0
70,Q02866,Q04368,0
76,Q02866,P16649,0
77,Q02866,P53691,0
84,Q02866,P36118,0
95,Q02866,Q06001,0
101,Q02866,P52553,0
123,Q02866,Q00582,0
165,Q02866,P52917,0
178,Q02866,P28000,0
202,Q02866,P11710,0
204,Q02866,P53237,0
240,Q02866,P39729,0
266,Q02866,P43123,0
270,Q02866,P21243,0
276,Q02866,P08539,0
281,Q02866,P25555,0
305,Q02866,P53272,0
321,Q02866,P53343,0
323,Q02866,P40515,0
338,Q02866,P43124,0
349,Q02866,P32491,0
360,Q02866,P38232,0
373,Q02866,P07703,0
377,Q02866,Q04067,0
378,Q02866,Q03750,0
389,Q02866,Q04493,0
399,Q02866,P40465,0
409,Q02866,Q12513,0
419,Q02866,P36144,0
424,Q02866,P43132,0
429,Q02866,P42944,0
447,Q02866,Q12497,0
464,Q02866,P04911,0
471,Q02866,P21242,0
477,Q02866,Q12692,0
478,Q02866,P41920,0
481,Q02866,P18634,0
483,Q02866,Q12253,0
513,Q02866,P34167,0
519,Q02866,Q03330,0
533,Q02866,P41911,0
556,Q02866,Q12468,0
571,Q02866,P25694,0
573,Q02866,P24280,0
579,Q02866,Q6Q5K6,0
588,Q02866,P25383,0
591,Q02866,Q04272,0
594,Q02866,P23285,0
602,Q02866,Q03081,0
621,P47017,P34730,0
672,P47017,P38744,0
684,P47017,P16649,0
685,P47017,P53691,0
732,P47017,Q00582,0
753,P47017,P38751,0
761,P47017,P53295,0
775,P47017,P52917,0
788,P47017,P28000,0
789,P47017,P08679,0
849,P47017,P39729,0
875,P47017,P43123,0
879,P47017,P21243,0
890,P47017,P25555,0
914,P47017,P53272,0
925,P47017,P32828,0
930,P47017,P53343,0
947,P47017,P43124,0
958,P47017,P32491,0
969,P47017,P38232,0
970,P47017,P32385,0
986,P47017,Q04067,0
1033,P47017,P43132,0
1037,P47017,Q03407,0
1038,P47017,P42944,0
1043,P47017,Q02725,0
1045,P47017,P46680,0
1048,P47017,P53729,0
1056,P47017,Q12497,0
1073,P47017,P04911,0
1080,P47017,P21242,0
1087,P47017,P41920,0
1092,P47017,Q12253,0
1122,P47017,P34167,0
1142,P47017,P41911,0
1165,P47017,Q12468,0
1166,P47017,Q12317,0
1180,P47017,P25694,0
1182,P47017,P24280,0
1187,P47017,Q6Q5K6,0
1188,P47017,Q12215,0
1196,P47017,P25383,0
1203,P47017,P48566,0
1210,P47017,Q03081,0
1219,P22216,P25502,0
1237,P22216,P35844,0
1247,P22216,P25659,0
1283,P22216,P53958,0
1324,P22216,Q05541,0
1344,P22216,Q04751,0
1371,P22216,P40042,0
1408,P22216,P39008,0
1440,P22216,P38744,0
1453,P22216,P38270,0
1467,P22216,Q04368,0
1512,P22216,P16649,0
1514,P22216,P53177,0
1539,P22216,Q12246,0
1576,P22216,Q06001,0
1584,P22216,P43577,0
1597,P22216,Q03981,0
1625,P22216,Q05787,0
1631,P22216,P39977,0
1648,P22216,P35729,0
1656,P22216,P33759,0
1666,P22216,P15705,0
1706,P22216,P40588,0
1707,P22216,P46943,0
1710,P22216,Q00582,0
1747,P22216,P53899,0
1777,P22216,P38697,0
1807,P22216,P40326,0
1816,P22216,P48836,0
1833,P22216,Q04004,0
1852,P22216,P38268,0
1859,P22216,P34237,0
1918,P22216,P40581,0
1944,P22216,P43594,0
1961,P22216,P38176,0
2021,P22216,P28000,0
2024,P22216,P38740,0
2025,P22216,P54784,0
2026,P22216,P39990,0
2038,P22216,P38716,0
2039,P22216,Q12432,0
2049,P22216,P53934,0
2086,P22216,Q12318,0
2113,P22216,P21269,0
2119,P22216,P46982,0
2133,P22216,P53237,0
2195,P22216,P43123,0
2205,P22216,P08539,0
2234,P22216,P53272,0
2250,P22216,P53343,0
2267,P22216,P43124,0
