,interactor_A,interactor_B,label
3751,P02775,P63272,0
8262,Q13564,P63272,0
13971,P40429,P63272,0
14440,Q9UPY8,Q75KN0,0
16128,Q9BUL5,P08758,0
16347,Q9BUL5,Q96FE5,0
16356,Q9BUL5,Q15041,0
16427,Q9BUL5,Q8NBJ7,0
16477,Q9BUL5,Q9Y230,0
16490,Q9BUL5,Q6ZRQ5,0
16619,Q9BUL5,Q9BTV4,0
16829,Q9BUL5,P63272,0
18735,Q9Y3M9,P63272,0
23206,Q9Y3U8,P08758,0
23427,Q9Y3U8,Q96FE5,0
23436,Q9Y3U8,Q15041,0
23507,Q9Y3U8,Q8NBJ7,0
23557,Q9Y3U8,Q9Y230,0
23570,Q9Y3U8,Q6ZRQ5,0
23699,Q9Y3U8,Q9BTV4,0
23909,Q9Y3U8,P63272,0
23960,Q9Y3U8,Q93077,0
28679,Q13239,P08758,0
28794,Q13239,P00742,0
28899,Q13239,Q96FE5,0
28908,Q13239,Q15041,0
28956,Q13239,Q9NQX7,0
28978,Q13239,O75534,0
28979,Q13239,Q8NBJ7,0
29029,Q13239,Q9Y230,0
29042,Q13239,Q6ZRQ5,0
29171,Q13239,Q9BTV4,0
29376,Q13239,P07108,0
29381,Q13239,P63272,0
29397,Q13239,P61077,0
29436,Q13239,P27824,0
32815,P50502,P08758,0
33035,P50502,Q96FE5,0
33044,P50502,Q15041,0
33115,P50502,Q8NBJ7,0
33165,P50502,Q9Y230,0
33178,P50502,Q6ZRQ5,0
33307,P50502,Q9BTV4,0
33517,P50502,P63272,0
33547,P50502,P16152,0
45047,Q8N6T3,P63272,0
46175,Q9H270,P08631,0
46725,Q9H270,O95219,0
46775,Q9H270,P08758,0
46985,Q9H270,P16403,0
47155,Q9H270,Q96FE5,0
47164,Q9H270,Q15041,0
47235,Q9H270,Q8NBJ7,0
47285,Q9H270,Q9Y230,0
47298,Q9H270,Q6ZRQ5,0
47427,Q9H270,Q9BTV4,0
47637,Q9H270,P63272,0
47910,Q96BK5,P08758,0
48024,Q96BK5,P00742,0
48129,Q96BK5,Q96FE5,0
48138,Q96BK5,Q15041,0
48186,Q96BK5,Q9NQX7,0
48208,Q96BK5,O75534,0
48209,Q96BK5,Q8NBJ7,0
48259,Q96BK5,Q9Y230,0
48272,Q96BK5,Q6ZRQ5,0
48401,Q96BK5,Q9BTV4,0
48606,Q96BK5,P07108,0
48611,Q96BK5,P63272,0
48627,Q96BK5,P61077,0
48666,Q96BK5,P27824,0
48884,Q6FI97,P08758,0
48911,Q6FI97,Q9UK76,0
49104,Q6FI97,Q96FE5,0
49113,Q6FI97,Q15041,0
49184,Q6FI97,Q8NBJ7,0
49234,Q6FI97,Q9Y230,0
49247,Q6FI97,Q6ZRQ5,0
49376,Q6FI97,Q9BTV4,0
49586,Q6FI97,P63272,0
49616,Q6FI97,P16152,0
55637,P49321,P63272,0
57835,O95873,P08758,0
58056,O95873,Q96FE5,0
58065,O95873,Q15041,0
58136,O95873,Q8NBJ7,0
58186,O95873,Q9Y230,0
58199,O95873,Q6ZRQ5,0
58328,O95873,Q9BTV4,0
58538,O95873,P63272,0
58941,Q9H910,Q17R89,0
61383,Q9Y478,P08758,0
61490,Q9Y478,P25189,0
61570,Q9Y478,Q75KN0,0
61603,Q9Y478,Q96FE5,0
61612,Q9Y478,Q15041,0
61683,Q9Y478,Q8NBJ7,0
61733,Q9Y478,Q9Y230,0
61746,Q9Y478,Q6ZRQ5,0
61874,Q9Y478,Q9BTV4,0
62010,Q9Y478,Q8N9T8,0
62039,Q9Y478,Q9UK32,0
62084,Q9Y478,P63272,0
62100,Q9Y478,P61077,0
62110,Q9Y478,Q9H4T2,0
62114,Q9Y478,P16152,0
62135,Q9Y478,Q93077,0
62222,P60880,P08631,0
62483,P60880,Q17R89,0
62773,P60880,O95219,0
62823,P60880,P08758,0
63032,P60880,P16403,0
63170,P60880,Q75KN0,0
63203,P60880,Q96FE5,0
63212,P60880,Q15041,0
63283,P60880,Q8NBJ7,0
63333,P60880,Q9Y230,0
63346,P60880,Q6ZRQ5,0
63475,P60880,Q9BTV4,0
63685,P60880,P63272,0
63823,Q16623,P08631,0
64373,Q16623,O95219,0
65286,Q16623,P63272,0
66489,Q9Y296,P08758,0
66709,Q9Y296,Q96FE5,0
66718,Q9Y296,Q15041,0
66789,Q9Y296,Q8NBJ7,0
66839,Q9Y296,Q9Y230,0
66852,Q9Y296,Q6ZRQ5,0
66981,Q9Y296,Q9BTV4,0
67191,Q9Y296,P63272,0
75797,Q96IZ0,P63272,0
79546,Q7Z7H8,P08758,0
79573,Q7Z7H8,Q9UK76,0
79653,Q7Z7H8,P25189,0
79662,Q7Z7H8,P00742,0
79733,Q7Z7H8,Q75KN0,0
79766,Q7Z7H8,Q96FE5,0
79775,Q7Z7H8,Q15041,0
79846,Q7Z7H8,Q8NBJ7,0
79896,Q7Z7H8,Q9Y230,0
79909,Q7Z7H8,Q6ZRQ5,0
80038,Q7Z7H8,Q9BTV4,0
80174,Q7Z7H8,Q8N9T8,0
80248,Q7Z7H8,P63272,0
83733,Q9NRS6,P07108,0
83738,Q9NRS6,P63272,0
85913,Q9Y4P1,P08758,0
86134,Q9Y4P1,Q96FE5,0
86143,Q9Y4P1,Q15041,0
86214,Q9Y4P1,Q8NBJ7,0
86264,Q9Y4P1,Q9Y230,0
86277,Q9Y4P1,Q6ZRQ5,0
86405,Q9Y4P1,Q9BTV4,0
86615,Q9Y4P1,P63272,0
88534,O75828,P63272,0
88650,Q9NRH1,P08631,0
89202,Q9NRH1,O95219,0
90114,Q9NRH1,P63272,0
92039,P02787,P63272,0
93262,Q13243,P08758,0
93482,Q13243,Q96FE5,0
93491,Q13243,Q15041,0
93561,Q13243,Q8NBJ7,0
93611,Q13243,Q9Y230,0
93624,Q13243,Q6ZRQ5,0
93753,Q13243,Q9BTV4,0
93963,Q13243,P63272,0
95366,Q9NYS7,Q75KN0,0
95880,Q9NYS7,P63272,0
97049,Q99608,P23246,0
97105,Q99608,P08758,0
97132,Q99608,Q9UK76,0
97212,Q99608,P25189,0
97221,Q99608,P00742,0
97326,Q99608,Q96FE5,0
97335,Q99608,Q15041,0
97383,Q99608,Q9NQX7,0
97405,Q99608,O75534,0
97406,Q99608,Q8NBJ7,0
97456,Q99608,Q9Y230,0
97469,Q99608,Q6ZRQ5,0
97570,Q99608,P20264,0
97581,Q99608,Q9NXK8,0
97598,Q99608,Q9BTV4,0
97734,Q99608,Q8N9T8,0
97763,Q99608,Q9UK32,0
97803,Q99608,P07108,0
97808,Q99608,P63272,0
97838,Q99608,P16152,0
97859,Q99608,Q93077,0
97863,Q99608,P27824,0
97874,Q99608,Q3B820,0
99365,P09104,P63272,0
100327,P09651,P63272,0
103215,P23142,P63272,0
113725,Q9UPT5,Q75KN0,0
114240,Q9UPT5,P63272,0
115192,Q13526,P63272,0
115448,O60238,P08758,0
115475,O60238,Q9UK76,0
115555,O60238,P25189,0
115635,O60238,Q75KN0,0
115668,O60238,Q96FE5,0
115677,O60238,Q15041,0
115748,O60238,Q8NBJ7,0
115798,O60238,Q9Y230,0
115811,O60238,Q6ZRQ5,0
115940,O60238,Q9BTV4,0
116076,O60238,Q8N9T8,0
116105,O60238,Q9UK32,0
116145,O60238,P07108,0
116150,O60238,P63272,0
116157,O60238,P32249,0
116166,O60238,P61077,0
116201,O60238,Q93077,0
116205,O60238,P27824,0
116216,O60238,Q3B820,0
119806,P09471,P08758,0
119913,P09471,P25189,0
119994,P09471,Q75KN0,0
120027,P09471,Q96FE5,0
120036,P09471,Q15041,0
120107,P09471,Q8NBJ7,0
120157,P09471,Q9Y230,0
120170,P09471,Q6ZRQ5,0
120299,P09471,Q9BTV4,0
120435,P09471,Q8N9T8,0
120464,P09471,Q9UK32,0
120504,P09471,P07108,0
120509,P09471,P63272,0
120560,P09471,Q93077,0
120765,Q00613,P08758,0
120986,Q00613,Q96FE5,0
120995,Q00613,Q15041,0
121066,Q00613,Q8NBJ7,0
121116,Q00613,Q9Y230,0
121129,Q00613,Q6ZRQ5,0
121258,Q00613,Q9BTV4,0
121468,Q00613,P63272,0
122423,Q07666,P63272,0
122865,P03950,Q75KN0,0
123379,P03950,P63272,0
124337,Q13107,P63272,0
125294,O76027,P63272,0
126251,P60660,P63272,0
128204,P68871,P08631,0
128214,P68871,Q8NCG7,0
128377,P68871,P49770,0
128391,P68871,P58215,0
128466,P68871,Q17R89,0
128536,P68871,P05413,0
128756,P68871,O95219,0
128806,P68871,P08758,0
128879,P68871,O00151,0
128898,P68871,Q13151,0
129014,P68871,P16403,0
129071,P68871,P25189,0
129080,P68871,P00742,0
129152,P68871,Q75KN0,0
129185,P68871,Q96FE5,0
129194,P68871,Q15041,0
129265,P68871,Q8NBJ7,0
129315,P68871,Q9Y230,0
129328,P68871,Q6ZRQ5,0
129457,P68871,Q9BTV4,0
129593,P68871,Q8N9T8,0
129667,P68871,P63272,0
129697,P68871,P16152,0
129733,P68871,Q3B820,0
132611,P0CG47,P08631,0
133159,P0CG47,O95219,0
134102,P0CG47,P16152,0
136632,P08631,P07900,0
136638,P08631,P60228,0
136640,P08631,P56470,0
136646,P08631,Q8WVM8,0
136655,P08631,P18847,0
136656,P08631,Q86XM6,0
136657,P08631,Q9BPW8,0
136658,P08631,P27448,0
136660,P08631,P42773,0
136661,P08631,Q96DI7,0
136663,P08631,Q14790,0
136664,P08631,P35268,0
136666,P08631,Q9H840,0
136667,P08631,Q86XS8,0
136669,P08631,P47224,0
136674,P08631,P61769,0
136680,P08631,Q15645,0
136681,P08631,P07602,0
136683,P08631,Q9H773,0
136685,P08631,Q92734,0
136690,P08631,P63167,0
136692,P08631,Q8N357,0
136696,P08631,P09960,0
136697,P08631,P63261,0
136699,P08631,P19256,0
136700,P08631,P63208,0
136701,P08631,Q13426,0
136703,P08631,P02794,0
