,interactor_A,interactor_B,label
0,Q06187,Q06187,1
1,Q14790,Q14790,1
2,Q92851,Q92851,1
3,Q16649,Q16649,1
4,P18850,P18850,1
5,Q96BA8,Q96BA8,1
6,P17861,P17861,1
7,P01308,P01308,1
9,Q03692,Q03692,1
10,Q14566,Q14566,1
11,O43913,O43913,1
13,P58335,P58335,1
16,P16519,P16519,1
17,P11310,P11310,1
28,P18433,P18433,1
32,P22607,P22607,1
36,P08514,P08514,1
37,P05106,P05106,1
38,Q16611,Q16611,1
39,P16118,P16118,1
42,Q16875,Q16875,1
43,P28347,P28347,1
44,Q05516,Q05516,1
45,P18848,P18848,1
46,Q9NS37,Q9NS37,1
49,Q9UHN1,Q9UHN1,1
51,Q9UMX1,Q9UMX1,1
68,Q13257,Q13257,1
72,P37840,P37840,1
74,P09622,P09622,1
76,O96017,O96017,1
83,P04637,P04637,1
85,Q06455,Q06455,1
89,Q16637,Q16637,1
93,Q9Y224,Q9Y224,1
94,P20963,P20963,1
95,P56693,P56693,1
96,P20265,P20265,1
104,P12004,P12004,1
107,O75530,O75530,1
112,Q0IIN5,Q0IIN5,1
125,Q15642,Q15642,1
126,Q96RU3,Q96RU3,1
127,P21583,P21583,1
132,Q9HAU4,Q9HAU4,1
133,Q9UKG1,Q9UKG1,1
136,Q7L590,Q7L590,1
137,Q9UHD2,Q9UHD2,1
140,P04271,P04271,1
144,P52657,P52657,1
145,P52179,P52179,1
146,Q8TBX8,Q8TBX8,1
147,P17036,P17036,1
148,P18847,P18847,1
149,Q9H9D4,Q9H9D4,1
150,Q9UDV6,Q9UDV6,1
151,O94804,O94804,1
152,O43293,O43293,1
155,P51693,P51693,1
156,Q06481,Q06481,1
160,Q96EK6,Q96EK6,1
162,P05067,P05067,1
164,P02749,P02749,1
176,Q07812,Q07812,1
186,Q96D31,Q96D31,1
187,Q13586,Q13586,1
193,P06239,P06239,1
203,O94813,O94813,1
204,P29317,P29317,1
207,P00533,P00533,1
217,P51649,P51649,1
219,P0CG48,P0CG48,1
226,P02766,P02766,1
228,Q00604,Q00604,1
237,Q13882,Q13882,1
242,P41240,P41240,1
244,P04406,P04406,1
245,P50747,P50747,1
246,Q96PP8,Q96PP8,1
250,P04156,P04156,1
253,Q9UNF0,Q9UNF0,1
261,Q14653,Q14653,1
266,P04004,P04004,1
269,O60271,O60271,1
270,Q14974,Q14974,1
272,P01127,P01127,1
273,P07550,P07550,1
277,P55072,P55072,1
280,P22303,P22303,1
281,P06276,P06276,1
282,P55789,P55789,1
289,P40855,P40855,1
290,Q9NRG1,Q9NRG1,1
291,O75326,O75326,1
298,Q05193,Q05193,1
303,P55212,P55212,1
305,P10997,P10997,1
308,P19235,P19235,1
309,P43250,P43250,1
320,P10147,P10147,1
321,P13236,P13236,1
329,O75460,O75460,1
331,P09327,P09327,1
336,P05230,P05230,1
337,Q9Y239,Q9Y239,1
340,Q9H3D4,Q9H3D4,1
341,P51116,P51116,1
342,P51114,P51114,1
343,Q06787,Q06787,1
344,P02792,P02792,1
346,P32322,P32322,1
351,Q9NVV4,Q9NVV4,1
356,P25490,P25490,1
357,P61769,P61769,1
359,P19338,P19338,1
362,Q96AT9,Q96AT9,1
364,P10600,P10600,1
366,P67870,P67870,1
367,Q96F86,Q96F86,1
370,D6RGH6,D6RGH6,1
375,Q14451,Q14451,1
376,P23297,P23297,1
377,Q9H008,Q9H008,1
378,Q9C005,Q9C005,1
379,P19623,P19623,1
394,Q9UQM7,Q9UQM7,1
400,Q9Y4E8,Q9Y4E8,1
401,Q13107,Q13107,1
402,P51784,P51784,1
404,P27487,P27487,1
405,O60260,O60260,1
407,O43681,O43681,1
412,P43351,P43351,1
413,P02489,P02489,1
417,P32455,P32455,1
418,Q16181,Q16181,1
420,P47929,P47929,1
427,P11362,P11362,1
435,P01275,P01275,1
440,P20700,P20700,1
449,Q9UBX5,Q9UBX5,1
450,O95967,O95967,1
457,P29034,P29034,1
471,P62993,P62993,1
472,O00560,O00560,1
473,O94925,O94925,1
476,P02647,P02647,1
481,Q9UH99,Q9UH99,1
484,P21802,P21802,1
490,Q13148,Q13148,1
500,Q13546,Q13546,1
501,Q9Y572,Q9Y572,1
503,P02747,P02747,1
505,O14862,O14862,1
506,P09871,P09871,1
507,O00214,O00214,1
510,P30038,P30038,1
516,Q9UQB8,Q9UQB8,1
523,Q02241,Q02241,1
528,O60610,O60610,1
529,P12643,P12643,1
530,O76064,O76064,1
532,Q9GZM8,Q9GZM8,1
533,Q9NXR1,Q9NXR1,1
542,P06731,P06731,1
602,Q9BSQ5,Q9BSQ5,1
606,P51659,P51659,1
612,P61626,P61626,1
613,Q13596,Q13596,1
614,P02511,P02511,1
619,O14960,O14960,1
621,P01258,P01258,1
633,P46597,P46597,1
636,P02786,P02786,1
645,P49773,P49773,1
646,P49789,P49789,1
647,P13501,P13501,1
655,P14780,P14780,1
657,Q96NT5,Q96NT5,1
658,P26678,P26678,1
659,Q9BX68,Q9BX68,1
667,O00399,O00399,1
668,Q9Y295,Q9Y295,1
671,O14793,O14793,1
672,P06400,P06400,1
673,O14958,O14958,1
675,P17661,P17661,1
676,P00441,P00441,1
678,P01375,P01375,1
681,P15692,P15692,1
686,Q2M3L1,Q2M3L1,1
692,Q9UL51,Q9UL51,1
694,Q15109,Q15109,1
707,Q13630,Q13630,1
710,Q53GS7,Q53GS7,1
711,Q8WXF7,Q8WXF7,1
716,Q92692,Q92692,1
718,P04085,P04085,1
720,Q9NRA1,Q9NRA1,1
721,P06748,P06748,1
727,O00499,O00499,1
728,P36776,P36776,1
729,P00750,P00750,1
732,P50552,P50552,1
741,P15309,P15309,1
744,P07355,P07355,1
753,Q9Y6K1,Q9Y6K1,1
755,Q04724,Q04724,1
756,Q9ULZ3,Q9ULZ3,1
757,Q96P20,Q96P20,1
758,P29466,P29466,1
761,P20807,P20807,1
764,P50461,P50461,1
768,A0FGR8,A0FGR8,1
771,O15392,O15392,1
776,Q9BPX6,Q9BPX6,1
780,Q99697,Q99697,1
781,P01033,P01033,1
783,P15559,P15559,1
786,P43026,P43026,1
787,O15455,O15455,1
797,P19838,P19838,1
798,P78317,P78317,1
802,O96007,O96007,1
803,O96033,O96033,1
807,Q9BXW4,Q9BXW4,1
809,Q9Y5L0,Q9Y5L0,1
810,Q15797,Q15797,1
814,P01034,P01034,1
820,Q9Y5Q3,Q9Y5Q3,1
821,O15525,O15525,1
822,P49715,P49715,1
823,P17676,P17676,1
824,P49716,P49716,1
825,P18846,P18846,1
826,P16220,P16220,1
827,Q68CJ9,Q68CJ9,1
828,Q16534,Q16534,1
829,P17544,P17544,1
830,P05412,P05412,1
831,O75444,O75444,1
832,Q16621,Q16621,1
834,P13224,P13224,1
835,P49754,P49754,1
837,Q96DE0,Q96DE0,1
838,Q02153,Q02153,1
839,P46098,P46098,1
841,P22301,P22301,1
847,P01130,P01130,1
851,P02768,P02768,1
853,P58753,P58753,1
854,Q9BY76,Q9BY76,1
862,Q96CD2,Q96CD2,1
869,O76090,O76090,1
871,P26022,P26022,1
875,Q05996,Q05996,1
876,P21754,P21754,1
877,Q12836,Q12836,1
878,Q9NXV2,Q9NXV2,1
879,Q8NC69,Q8NC69,1
880,Q693B1,Q693B1,1
881,Q96CX2,Q96CX2,1
882,Q96SI1,Q96SI1,1
887,O15553,O15553,1
888,O14931,O14931,1
889,P48551,P48551,1
901,P49771,P49771,1
932,P54253,P54253,1
936,P78380,P78380,1
943,P14621,P14621,1
948,O75531,O75531,1
950,Q9H6P5,Q9H6P5,1
955,P19525,P19525,1
958,Q9UBU8,Q9UBU8,1
959,O15409,O15409,1
962,P53999,P53999,1
963,O75146,O75146,1
966,P21673,P21673,1
981,O15431,O15431,1
985,P28472,P28472,1
986,P08581,P08581,1
999,Q9Y5M8,Q9Y5M8,1
1007,Q5T4W7,Q5T4W7,1
1012,P43490,P43490,1
1024,Q7L804,Q7L804,1
1026,P30101,P30101,1
1044,P08670,P08670,1
1049,P31946,P31946,1
1050,P62258,P62258,1
1051,P27348,P27348,1
1052,Q04917,Q04917,1
1053,P61981,P61981,1
1060,Q8WYQ5,Q8WYQ5,1
1061,P46109,P46109,1
1063,Q9Y235,Q9Y235,1
1064,P45381,P45381,1
1066,P51795,P51795,1
1072,Q15542,Q15542,1
1073,P22830,P22830,1
1075,P06401,P06401,1
1081,P35968,P35968,1
1087,P56524,P56524,1
1091,Q99259,Q99259,1
1092,Q05329,Q05329,1
1093,P60709,P60709,1
1094,O60462,O60462,1
1097,Q9Y5U4,Q9Y5U4,1
1104,Q9HBL8,Q9HBL8,1
1107,Q9H4B6,Q9H4B6,1
1111,P41250,P41250,1
1112,P29033,P29033,1
1116,P51800,P51800,1
1117,Q9UIB8,Q9UIB8,1
1124,P30989,P30989,1
1125,P29972,P29972,1
1128,P23381,P23381,1
1131,Q15118,Q15118,1
1138,O94992,O94992,1
1140,P23921,P23921,1
1141,P31350,P31350,1
1143,Q9NZ45,Q9NZ45,1
1146,P14210,P14210,1
1157,P07320,P07320,1
1168,P27352,P27352,1
1174,Q9Y2Z4,Q9Y2Z4,1
1181,Q9UNG2,Q9UNG2,1
1185,P34741,P34741,1
1186,P18827,P18827,1
1187,P31431,P31431,1
1188,O75056,O75056,1
1191,Q06830,Q06830,1
1192,P10515,P10515,1
1203,P08236,P08236,1
1204,Q15046,Q15046,1
1219,P47992,P47992,1
1221,Q9Y5U5,Q9Y5U5,1
1223,P23258,P23258,1
1234,Q9Y6K9,Q9Y6K9,1
1240,Q96D96,Q96D96,1
1243,P17693,P17693,1
1251,Q13569,Q13569,1
1252,Q14765,Q14765,1
1256,P51681,P51681,1
1258,P42768,P42768,1
1263,P84077,P84077,1
1269,P55064,P55064,1
1281,P21796,P21796,1
1282,Q13568,Q13568,1
1283,P34982,P34982,1
1285,P01008,P01008,1
1286,O75340,O75340,1
1287,Q9Y5X1,Q9Y5X1,1
1302,P61970,P61970,1
1303,P12830,P12830,1
1305,Q99523,Q99523,1
1307,Q9UN81,Q9UN81,1
1320,Q9UKV5,Q9UKV5,1
1330,Q03518,Q03518,1
1331,Q03519,Q03519,1
1334,Q7Z6A9,Q7Z6A9,1
1342,P02743,P02743,1
1351,P13497,P13497,1
1352,O14745,O14745,1
1362,Q9Y4K3,Q9Y4K3,1
1371,Q9H444,Q9H444,1
1374,Q7LBR1,Q7LBR1,1
1381,Q06609,Q06609,1
1383,P40967,P40967,1
1395,P15056,P15056,1
1409,Q16790,Q16790,1
1415,O15350,O15350,1
1429,O75874,O75874,1
1436,Q9NPI6,Q9NPI6,1
1442,P05091,P05091,1
1448,P04049,P04049,1
1454,P10644,P10644,1
1456,Q495M9,Q495M9,1
1457,Q9HC16,Q9HC16,1
1466,Q92478,Q92478,1
1467,P26718,P26718,1
1468,D3W0D1,D3W0D1,1
1470,P00491,P00491,1
1483,Q9UNQ0,Q9UNQ0,1
1485,Q99962,Q99962,1
1493,P26447,P26447,1
1495,P20591,P20591,1
1498,Q9UBD6,Q9UBD6,1
1499,P01594,P01594,1
1502,O43809,O43809,1
1509,P14174,P14174,1
1522,Q16740,Q16740,1
1525,Q13555,Q13555,1
1526,Q13554,Q13554,1
1527,Q13557,Q13557,1
1545,Q10589,Q10589,1
1554,P14222,P14222,1
1562,Q9NWX6,Q9NWX6,1
1563,Q9UG22,Q9UG22,1
1570,O15164,O15164,1
1574,P08238,P08238,1
1577,P04626,P04626,1
1581,Q13291,Q13291,1
